label,text,is_eng,len,len_no_spaces,n_words,n_special_chars,n_capital_letters,explicit
1,do not have money get software cds from here software compatibility ain t it great grow old along with me the best is yet to be all tradgedies are finish d by death all comedies are ended by marriage,True,226,173,51,12,0,0
1,only our software is guaranteed 100 legal name brand software at low low low low prices everything comes to him who hustles while he waits many would be cowards if they had courage enough,True,206,162,42,8,0,0
1,security alert confirm your national credit union information,True,71,58,12,4,0,0
1,re wearable electronics hi my name is jason i recently visited [entity],True,76,62,14,4,6,0
1,want to accept credit cards [entity] aredit cpproved no cecks do it now[entity],True,83,68,13,5,12,0
1,claim your free 1000 home depot gift card claim your home depot gift card a 1000 value were sure you can find a use for this gift card in your area by exclusiverewards udexhoyp,True,197,152,43,9,0,0
1,branded softs roxio easy media creator 7 0 19 95 [entity],True,67,51,15,6,6,0
1,bro check out this awesome new product wish you could be better [entity],True,76,61,14,3,6,0
1,wish you could be better [explicit] growth extreme [entity],True,63,52,10,5,6,1
1,claim your free home depot gift card a 1000 value claim your home depot gift card a 1000 value were sure you can find a use for this gift card in your area by exclusiverewards qprkelmv,True,207,159,46,10,0,0
1,make big money with foreclosed real estate in your area trinity consulting 1730 redhill ave ste 135 irvine ca[entity] this e mail message is an advertisement and or solicitation,True,193,156,36,9,6,0
1,save your money by getting an oem software need in software for your pc just visit our site we might have what you need best regards alyssa,True,157,120,34,7,0,0
1,get your babies diapers bill paid for a year your family could definately use this now go mjirartt,True,106,84,21,3,0,0
1,christian health plan we offer vision dental medical and much more work with the good people at christian health center our values set us apart click below [entity],True,180,143,34,8,6,0
1,the credit law is on your side jm get perfect credit now i will show you how you can quickly and easily improve your credit to a perfect rating click here now for full free details,True,191,149,40,4,0,0
1,[entity],True,10,8,1,2,6,0
1,sshs get low cost software cds or download find compare and buy business and productivity software and other computer software products [entity],True,156,128,27,7,6,0
1,this weeks ultimate adventure exoctic car rentals please click to enter millionaires concierge 1332 bayview dr fort lauderdale fl[entity] this e mail message is an advertisement and or solicitation,True,220,179,39,12,6,0
