label,text,is_eng,len,len_no_spaces,n_words,n_special_chars,n_capital_letters,explicit
1,sends them to their final destination designated as a private key 4 validate public keys someone wants to meet you who your match could be find here to the purported owner you,True,188,150,38,6,0,0
1,emile the cablefilterz will allow you to receive all the channels that you order with your remote control payperviews axxxmovies sport events special events [entity],True,179,148,32,9,6,0
1,muniz govenment don t want me to sell undergroundcd check your spouse and staff investigate your own credit history hacking someone pc disappear in your city bannedcd 2004 [entity],True,190,157,34,7,6,0
1,tinydrive 2 2 gb 5 x 2 25 x 2 5 inches h x w x d 2 2 gigabytesmobile storage driveusb 2 0 [entity] lightweight and compact design visit [entity],True,169,127,43,17,12,0
1,80 smart ink system [entity],True,165,142,24,120,6,0
1,visit [entity],True,16,14,3,3,6,0
1,logo stationery design please visit our site [entity],True,53,46,8,2,6,0
1,windows x p professi 0 nal update we might have just what you need microsoft office x p pro 2 oo 2 loo dollars windows x p pro 2 oo 2 5 o dollars more information [entity],True,243,171,73,38,6,0
1,want a rolex watch,True,21,16,5,1,0,0
1,top rated online store hot new levitra lipitor nexium weekly speciasls on all our drugs zocor soma ambien phentermine vlagra discount generic s on all more next day discrete shipping on all products [entity],True,235,188,48,16,6,0
1,young teens taking [explicit] loads on face cllck h 3 re to see it now for just 1 95,True,90,69,22,5,0,1
1,how old can you really be to have fun right in your area lonely hoyse wlves [entity],True,90,71,20,5,6,0
1,[explicit] s newest and best rival cialls has been around for some time now it s available in softtabs save 70 shipped world wide no prescription required more nfo here re move me,True,190,152,38,7,0,1
1,r r r 100 y r [entity],True,117,66,47,52,6,0
1,hello i sent you an email a few days ago because you now qualify for a new mortgage you could get a 300 000 for as little as 700 a month credit is no problem you can pull cash out or refinance best regards bret thompson no thanks,True,248,191,57,9,0,0
1,email loading brewster crude embody lignite cf aboard elisabeth doorkeep dichotomous chalkline keypunch pomp,True,117,99,18,4,0,0
