,Unnamed: 0,label,text,is_eng,len,len_no_spaces,n_words,n_special_chars,n_capital_letters,emails,urls,phones,explicit,entities,w_free,w_click,w_claim,w_offer,w_win,w_prize,w_want,tfidf_features
0,9,1,"['send', 'final', 'destin', 'design', 'privat', 'key', '4', 'valid', 'public', 'key', 'someon', 'want', 'meet', 'match', 'could', 'find', 'purport', 'owner']",True,188,150,38,6,0,0,0,0,0.0,0,0,0,0,0,0,0,1,[0. 0. 0. ... 0. 0. 0.]
1,17,1,"['emil', 'cablefilterz', 'allow', 'receiv', 'channel', 'order', 'remot', 'control', 'payperview', 'axxxmovi', 'sport', 'event', 'special', 'event', '[entity]']",True,179,148,32,9,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
2,20,1,"['muniz', 'goven', 'want', 'sell', 'undergroundcd', 'check', 'spous', 'staff', 'investig', 'credit', 'histori', 'hack', 'someon', 'pc', 'disappear', 'citi', 'bannedcd', '2004', '[entity]']",True,190,157,34,7,6,0,0,0,0.0,1,0,0,0,0,0,0,1,[0. 0. 0. ... 0. 0. 0.]
3,22,1,"['tinydr', '2', '2', 'gb', '5', 'x', '2', '25', 'x', '2', '5', 'inch', 'h', 'x', 'w', 'x', '2', '2', 'gigabytesmobil', 'storag', 'driveusb', '2', '0', '[entity]', 'lightweight', 'compact', 'design', 'visit', '[entity]']",True,169,127,43,17,12,0,0,0,0.0,2,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
4,27,1,"['80', 'smart', 'ink', 'system', '[entity]']",True,165,142,24,120,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
5,33,1,"['visit', '[entity]']",True,16,14,3,3,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
6,39,1,"['logo', 'stationeri', 'design', 'pleas', 'visit', 'site', '[entity]']",True,53,46,8,2,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
7,48,1,"['window', 'x', 'p', 'professi', '0', 'nal', 'updat', 'might', 'need', 'microsoft', 'offic', 'x', 'p', 'pro', '2', 'oo', '2', 'loo', 'dollar', 'window', 'x', 'p', 'pro', '2', 'oo', '2', '5', 'dollar', 'inform', '[entity]']",True,243,171,73,38,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
8,51,1,"['want', 'rolex', 'watch']",True,21,16,5,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,[0. 0. 0. ... 0. 0. 0.]
9,52,1,"['top', 'rate', 'onlin', 'store', 'hot', 'new', 'levitra', 'lipitor', 'nexium', 'weekli', 'speciasl', 'drug', 'zocor', 'soma', 'ambien', 'phentermin', 'vlagra', 'discount', 'gener', 'next', 'day', 'discret', 'ship', 'product', '[entity]']",True,235,188,48,16,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
10,54,1,"['young', 'teen', 'take', '[explicit]', 'load', 'face', 'cllck', 'h', '3', 'see', '1', '95']",True,90,69,22,5,0,0,0,0,0.0,0,0,1,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
11,55,1,"['old', 'realli', 'fun', 'right', 'area', 'lone', 'hoys', 'wlve', '[entity]']",True,90,71,20,5,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
12,62,1,"['[explicit]', 'newest', 'best', 'rival', 'ciall', 'around', 'time', 'avail', 'softtab', 'save', '70', 'ship', 'world', 'wide', 'prescript', 'requir', 'nfo', 'move']",True,190,152,38,7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
13,64,1,"['r', 'r', 'r', '100', 'r', '[entity]']",True,117,66,47,52,6,0,0,0,0.0,1,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
14,67,1,"['hello', 'sent', 'email', 'day', 'ago', 'qualifi', 'new', 'mortgag', 'could', 'get', '300', '000', 'littl', '700', 'month', 'credit', 'problem', 'pull', 'cash', 'refin', 'best', 'regard', 'bret', 'thompson', 'thank']",True,248,191,57,9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0.         0.26807771 0.         ... 0.         0.         0.        ]
15,68,1,"['email', 'load', 'brewster', 'crude', 'embodi', 'lignit', 'cf', 'aboard', 'elisabeth', 'doorkeep', 'dichotom', 'chalklin', 'keypunch', 'pomp']",True,117,99,18,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,[0. 0. 0. ... 0. 0. 0.]
