label,text,len,len_no_spaces,n_words,n_special_chars,n_capital_letters,explicit
1,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to[entity] to receive entry questionstd txt ratetcs apply[entity]over18s,153,128,26,10,22,0
1,freemsg hey there darling its been 3 weeks now and no word back id like some fun you up for it still tb ok [explicit] std chgs to send 150 to rcv,155,124,32,10,5,1
1,winner as a valued network customer you have been selected to receivea 900 prize reward to claim call[entity] claim code kl341 valid 12 hours only,154,130,25,8,18,0
1,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on[entity],150,123,28,4,20,0
1,six chances to win cash from 100 to 20000 pounds txt csh11 and send to[entity] cost 150pday 6days 16 tsandcs apply reply hl 4 info,138,114,25,10,23,0
1,urgent you have won a 1 week free membership in our 100000 prize jackpot txt the word claim to no[entity] tc [entity],125,104,22,10,34,0
1,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here [entity],107,90,18,6,16,0
1,england v macedonia dont miss the goalsteam news txt ur national team to[entity] eg england to[entity] trywales scotland 4txt120 poboxox[entity]w45wq 16,163,142,22,14,51,0
1,thanks for your subscription to ringtone uk your mobile will be charged 5month please confirm by replying yes or no if you reply no you will not be charged,159,131,29,2,13,0
1,[entity] rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now[entity] for delivery tomorrow,165,134,32,9,19,0
1,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,120,99,22,5,24,0
1,congrats 1 year special cinema pass for 2 is yours call[entity] now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out,157,131,26,14,18,0
1,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call[entity],149,123,27,5,12,0
1,urgent ur awarded a complimentary trip to eurodisinc trav acoentry41 or 1000 to claim txt dis to[entity]6150morefrmmob shracomorsglsuplt10 ls1 3aj,160,141,20,12,30,0
1,did you hear about the new divorce barbie it comes with all of kens stuff,80,66,15,7,5,0
1,please call our customer service representative on[entity] between 10am9pm as you have won a guaranteed 1000 cash or 5000 prize,133,114,20,4,10,0
1,your free ringtone is waiting to be collected simply text the password mix to[entity] to verify get usher and britney fml,127,107,21,8,17,0
1,gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call[entity] claim code k52 valid 12hrs only 150ppm,155,130,26,8,27,0
1,you are a winner u have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim[entity]pmin 18,147,121,26,9,8,0
1,private your 2004 account statement for[entity] shows 786 unredeemed bonus points to claim call[entity] identifier code[entity] expires,138,122,17,9,34,0
1,urgent your mobile no was awarded 2000 bonus caller prize on 5903 this is our final try to contact u call from landline[entity] box42wr29c 150ppm,153,129,25,8,31,0
1,todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call[entity] quoting claim code 4041 standard rates app,152,127,26,4,9,0
1,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to[entity] 150 sptyrone,128,105,24,7,20,0
1,want 2 get laid tonight want real [explicit] locations sent direct 2 ur mob join the uks largest [explicit] network bt txting gravel to[entity] nt ec2a 31pmsg150p,170,144,27,14,20,2
1,youll not rcv any more msgs from the chat svc for free [explicit] services text go to[entity] if u get nothing u must age verify with yr network try again,159,129,31,8,17,1
1,freemsg why havent you replied to my text im randy [explicit] female and live local luv to hear from u netcollex ltd[entity]p per msg reply stop to end,158,131,28,11,15,1
1,customer service annoncement you have a new years delivery waiting for you please call[entity] now to arrange delivery,120,103,18,4,11,0
1,you are a winner u have been specially selected 2 receive 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim[entity],140,115,26,5,8,0
1,pls stop bootydelious 32f is inviting you to be her friend reply yes434 or no434 see her [entity],105,88,18,10,21,0
1,bangbabes ur order is on the way u should receive a service msg 2 download ur content if u do not goto wap bangb tv on ur mobile internetservice menu,155,126,30,6,20,0
1,urgent we are trying to contact you last weekends draw shows that you have won a 900 prize guaranteed call[entity] claim code s89 valid 12hrs only,153,128,26,7,28,0
1,please call our customer service representative on freephone[entity] between 9am11pm as you have won a guaranteed 1000 cash or 5000 prize,143,123,21,4,19,0
1,are you unique enough find out from 30th august [entity],58,49,10,4,9,0
1,500 new mobiles from 2004 must go txt nokia to no[entity] collect yours todayfrom only 1 [entity],106,89,18,10,32,0
1,will u meet ur dream partner soon is ur career off 2 a flyng start 2 find out free txt horo followed by ur star sign e g horo aries,137,108,30,6,15,0
1,text meet someone [explicit] today u can find a date or even flirt its up to u join 4 just 10p reply with name age eg sam 25 18 msg recdthirtyeight pence,163,130,34,10,17,1
1,u[entity] have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on[entity],136,114,23,7,17,0
1,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed free entry 2 100 wkly draw txt music to[entity] tncs [entity],131,110,22,5,23,0
1,we tried to contact you re your reply to our offer of a video handset 750 anytime networks mins unlimited text camcorder reply or call[entity] now,150,125,26,6,27,0
1,hey i am really [explicit] want to chat or see me naked text hot to[entity] text charged at 150pm to unsubscribe text stop[entity],130,108,23,6,14,1
1,ur ringtone service has changed 25 free credits go to club4mobilescom to choose content now stop txt club stop to[entity]pwk club4 po box1146 mk45 2wt,156,132,25,8,26,0
1,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,133,110,24,3,6,0
1,hmv bonus special 500 pounds of genuine hmv vouchers to be won just answer 4 easy questions play now send hmv to[entity] more info[entity],142,119,24,8,38,0
1,tmobile customer you may now claim your free camera phone upgrade a pay go sim card for your loyalty call on[entity]offer ends 28thfebtcs apply,153,128,26,10,28,0
1,sms ac blind date 4u rodds1 is 21m from aberdeen united kingdom check him out [entity],92,77,16,8,18,0
1,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to[entity],140,118,23,8,16,0
1,think ur smart win 200 this week in our weekly quiz text play to[entity] nowtcs winnersclub po box 84 m26 3uz 16 gbp150week,136,113,24,12,27,0
1,december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on[entity],153,128,26,6,19,0
1,call germany for only 1 pence per minute call from a fixed line via access number[entity] no prepayment direct access,121,102,20,6,11,0
1,valentines day special win over 1000 in our quiz and take your partner on the trip of a lifetime send go to[entity] now 150pmsg rcvd custcare[entity],158,133,26,11,21,0
1,fancy a [explicit] i dointerested sextextukcom txt xxuk suzy to[entity] txts cost 150 per msg tncs on website x,119,101,19,12,21,1
1,ur cashbalance is currently 500 pounds to maximize ur cashin now send cash to[entity] only 150pmsg cc[entity] hgsuite3422lands roww1j6hl,146,127,20,13,28,0
1,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins 1000 txt on orange call mobileupd8 on[entity] or call2optoutf4q,161,138,24,13,29,0
1,here is your discount code rp[entity] to stop further messages reply stop [entity],84,72,13,6,16,0
1,thanks for your ringtone order reference t91 you will be charged gbp 4 per week you can unsubscribe at anytime by calling customer services on[entity],153,129,25,5,16,0
1,double mins and txts 4 6months free bluetooth on orange available on sony nokia motorola phones call mobileupd8 on[entity] or call2optoutn9dx,145,125,21,6,23,0
1,4mths half price orange line rental latest camera phones 4 free had your phone 11mths call mobilesdirect free on[entity] to update now or2stoptxt,151,127,25,6,15,0
1,free ringtone text first to[entity] for a poly or text get to[entity] for a true tone help[entity] after 1st free tones are 3x150pw to end txt stop,154,128,27,9,39,0
1,100 dating service call[entity] box334sk38ch,45,41,5,3,6,0
1,free entry into our 250 weekly competition just text the word win to[entity] now 18 tc [entity],99,83,17,6,24,0
1,send a logo 2 ur lover 2 names joined by a heart txt love name1 name2 mobno eg love adam eve[entity] to[entity] yahoo pobox[entity]w45wq txtno 4 no ads 150p,160,131,30,9,58,0
1,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline[entity] pobox12n146tf150p,158,133,26,4,10,0
1,urgent your mobile number has been awarded with a 2000 prize guaranteed call[entity] from land line claim 3030 valid 12hrs only,133,113,21,6,27,0
1,congrats nokia 3650 video camera phone is your call[entity] calls cost 150ppm ave call 3mins vary from mobiles 16 close[entity] post bcm4284 ldn wc1n3xx,154,131,24,6,27,0
1,loan for any purpose 500 75000 homeowners tenants welcome have you been previously refused we can still help call free[entity] or text back help,159,134,26,11,13,0
1,upgrdcentre orange customer you may now claim your free camera phone upgrade for your loyalty call now on[entity] offer ends 26th july tcs apply optout available,169,144,26,10,30,0
1,okmail dear dave this is your final notice to collect your 4 tenerife holiday or 5000 cash award call[entity] from landline tcs sae box326 cw25wx 150ppm,157,132,26,7,25,0
1,want 2 get laid tonight want real [explicit] locations sent direct 2 ur mob join the uks largest [explicit] network by txting moan to[entity]nyt ec2a 31pmsg150p,167,142,26,13,18,2
1,free message activate your 500 free text messages by replying to this message with the word free for terms conditions visit [entity],135,113,23,4,29,0
1,congrats 1 year special cinema pass for 2 is yours call[entity] now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out,156,131,26,14,18,0
1,123 congratulations in this weeks competition draw u have won the 1450 prize to claim just call[entity] b[entity] tcsstop sms[entity] over 18 only 150ppm,163,139,25,13,25,0
1,you are guaranteed the latest nokia phone a 40gb ipod mp3 player or a 500 prize txt word collect to no[entity] ibhltd ldnw15h 150pmtmsgrcvd18,150,127,24,9,30,0
1,boltblue tones for 150p reply poly or mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come with me or stop 4 more tones txt more,146,115,32,7,32,0
1,your credits have been topped up for [entity],45,38,8,2,7,0
1,urgent your mobile no was awarded a 2000 bonus caller prize on 020903 this is our 2nd attempt to contact you call[entity] box95qu,139,117,23,10,28,0
